year,indicator,donor_code,donor_name,recipient_code,recipient_name,share_of,currency,prices,value,share
2012,recipient_bilateral_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,2615.1167665488774,26.13729
2012,recipient_bilateral_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,2307.867624328072,23.06643
2012,recipient_imputed_multi_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,1693.8930600152462,16.92994
2012,recipient_imputed_multi_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,1191.8807510606,11.91248
2012,recipient_total_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,4309.009826564124,43.06724
2012,recipient_total_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,3499.748375388672,34.97891
2013,recipient_bilateral_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,2941.2243106908672,23.03467
2013,recipient_bilateral_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,2668.899733738197,20.90192
2013,recipient_imputed_multi_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,2364.6657648737105,18.51926
2013,recipient_imputed_multi_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,1986.9822596161212,15.56137
2013,recipient_total_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,5305.890075564577,41.55393
2013,recipient_total_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,4655.881993354318,36.46328
2014,recipient_bilateral_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,3053.1305672270996,22.95607
2014,recipient_bilateral_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,2675.8080153722335,20.11904
2014,recipient_imputed_multi_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,0.0,0.0
2014,recipient_imputed_multi_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,2645.210873090363,19.88898
2014,recipient_imputed_multi_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,1974.2682965425302,14.84425
2014,recipient_total_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,5698.341440317462,42.84505
2014,recipient_total_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,4650.076311914764,34.96329
2015,recipient_bilateral_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,3169.529703278289,23.43975
2015,recipient_bilateral_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,2874.140667916486,21.25525
2015,recipient_imputed_multi_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,2347.035663197401,17.35713
2015,recipient_imputed_multi_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,1732.791156968577,12.81458
2015,recipient_total_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,5516.565366475691,40.79688
2015,recipient_total_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,4606.931824885063,34.06983
2016,recipient_bilateral_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,3231.1806558142034,21.79786
2016,recipient_bilateral_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,2659.4289076969344,17.94077
2016,recipient_imputed_multi_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,2621.9655550583934,17.68804
2016,recipient_imputed_multi_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,2046.2764688954815,13.80438
2016,recipient_total_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,5853.146210872596,39.4859
2016,recipient_total_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,4705.705376592416,31.74515
2017,recipient_bilateral_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,3324.512940187163,21.92944
2017,recipient_bilateral_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,2861.431418842479,18.87482
2017,recipient_imputed_multi_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,0.0,0.0
2017,recipient_imputed_multi_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,2989.5185310146353,19.71972
2017,recipient_imputed_multi_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,2379.972893792223,15.69898
2017,recipient_total_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,6314.031471201798,41.64916
2017,recipient_total_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,5241.404312634702,34.5738
2018,recipient_bilateral_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,3102.443289543984,19.88011
2018,recipient_bilateral_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,2601.2817592319616,16.66872
2018,recipient_imputed_multi_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,2758.3839218730513,17.67542
2018,recipient_imputed_multi_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,2610.235007318474,16.7261
2018,recipient_total_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,5860.827211417035,37.55553
2018,recipient_total_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,5211.516766550436,33.39482
2019,recipient_bilateral_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,3185.4823800602667,20.06644
2019,recipient_bilateral_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,2891.510539164013,18.21461
2019,recipient_imputed_multi_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,2413.445679427453,15.20311
2019,recipient_imputed_multi_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,1914.8517094818094,12.0623
2019,recipient_total_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,5598.928059487719,35.26955
2019,recipient_total_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,4806.362248645823,30.27691
2020,recipient_bilateral_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,2630.693562811657,17.84526
2020,recipient_bilateral_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,2313.071529892677,15.69067
2020,recipient_imputed_multi_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,2791.052919875053,18.93305
2020,recipient_imputed_multi_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,2135.004500846542,14.48276
2020,recipient_total_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,5421.74648268671,36.77831
2020,recipient_total_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,4448.076030739219,30.17344
2021,recipient_bilateral_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,1732.8772,15.0627
2021,recipient_bilateral_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,1379.88962,11.99442
2021,recipient_imputed_multi_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,0.0,0.0
2021,recipient_imputed_multi_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,2317.1671,20.14153
2021,recipient_imputed_multi_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,1772.24425,15.40489
2021,recipient_total_flow_net,12,United Kingdom,10001,"Africa, Total",recipient_total_flow_net,GBP,constant,4050.0442999999996,35.20423
2021,recipient_total_flow_net,12,United Kingdom,10016,"LDCs, Total",recipient_total_flow_net,GBP,constant,3152.133869999999,27.39931
